essay_id,male_name,female_name,seed
failed-exam,Varun,Nisha,42
family-illness,Rohit,Nisha,42
financial-constraint,Nikhil,Priya,42
slow-english-confidence,Nikhil,Nisha,42
injury-quit-sport,Amit,Divya,42
hometown-shaped-me,Varun,Anjali,42
first-in-family-to-apply,Rahul,Divya,42
family-business,Rahul,Nisha,42
bilingual-upbringing,Rahul,Nisha,42
physics-question,Varun,Shreya,42
broken-radio-repair,Varun,Priya,42
math-olympiad,Rohit,Shreya,42
astronomy-club,Varun,Priya,42
coding-self-taught,Nikhil,Divya,42
organised-school-fest,Rohit,Priya,42
led-robotics-team,Amit,Divya,42
started-study-group,Rohit,Priya,42
captained-team,Amit,Divya,42
taught-younger-kids,Nikhil,Anjali,42
set-up-reading-corner,Nikhil,Shreya,42
waste-segregation-drive,Rohit,Anjali,42
flood-relief-volunteer,Amit,Shreya,42
wrong-about-competition,Rahul,Shreya,42
lost-debate,Amit,Anjali,42
misjudged-classmate,Rahul,Anjali,42
